,catedral_id,catedral_nombre,catedral_calle_numero,catedral_colonia,catedral_cp,catedral_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,83,Nuestra Señora de la Asunción ,Frente a la Plaza de la Patria ,Centro Histórico,,,,,21.88064,-102.29708,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=catedral&table_id=83,2018-12-13T06:16:00-06:00
1,2,Nuestra Señora de Guadalupe ,Morelos 192 ,1ra. sección,21100,,,,32.66338,-115.48931,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=catedral&table_id=2,2018-12-13T06:18:49-06:00
2,1,Nuestra Señora de Guadalupe ,Av. Niños Héroes 7982 y Calle 2da ,Centro,22000,(664) 685 30 26,http://www.corporativovirtual.com/catedral/contenido.cfm,,32.53532,-117.04048,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=catedral&table_id=1,2018-12-13T06:17:18-06:00
3,45,Nuestra Señora de La Paz ,"Av. Revolución de 1910, entre 5 de Mayo e Independencia",Centro,,(612) 122 0208,,,24.1616,-110.31288,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=catedral&table_id=45,2017-04-10T22:45:44-05:00
4,87,Nuestra Señora de la Purísima Concepción,Calle 55 entre 8 y 10 ,Centro Histórico,24000,,https://es.wikipedia.org/wiki/Catedral_de_Campeche,,19.84608,-90.53619,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=catedral&table_id=87,2017-04-17T12:30:15-05:00
5,13,Santiago Apóstol,Miguel Hidalgo esq. Miguel Castelar,Centro,,,,,25.42156,-100.99972,5,30,1,Coahuila de Zaragoza,Saltillo,Saltillo,http://sic.gob.mx/ficha.php?table=catedral&table_id=13,2018-12-10T06:48:44-06:00
6,12,Nuestra Señora del Carmen ,Matamoros 45 Pte.,Torreón Coah,27000,(871) 712 09 71,,,25.54002,-103.44949,5,35,1,Coahuila de Zaragoza,Torreón,Torreón,http://sic.gob.mx/ficha.php?table=catedral&table_id=12,2018-12-10T07:00:57-06:00
7,14,Nuestra Señora de Guadalupe ,Reforma esq. Francisco I Madero,Centro,,,,,19.24311,-103.72779,6,2,1,Colima,Colima,Colima,http://sic.gob.mx/ficha.php?table=catedral&table_id=14,2018-12-10T07:06:31-06:00
8,16,Nuestra Señora de la Asunción,Av. 20 de Noviembre núm. 1 ,Centro,29200,,,,16.73756,-92.63779,7,78,1,Chiapas,San Cristóbal de las Casas,San Cristóbal de las Casas,http://sic.gob.mx/ficha.php?table=catedral&table_id=16,2018-12-07T08:36:39-06:00
9,8,San José,Av. Primera Sur 1,Centro,30700, (962) 626 2032,,,14.90581,-92.26275,7,89,1,Chiapas,Tapachula,Tapachula de Córdova y Ordóñez,http://sic.gob.mx/ficha.php?table=catedral&table_id=8,2018-12-07T09:04:07-06:00
10,7,San Marcos,Av. Central Norte y 14 de Septiembre,Centro,29000,,,,16.75308,-93.11529,7,101,1,Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez,http://sic.gob.mx/ficha.php?table=catedral&table_id=7,2018-12-07T09:07:13-06:00
11,10,San Antonio de Padua ,,,,,,,28.40721,-106.8692,8,17,1,Chihuahua,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=10,2018-12-10T06:24:36-06:00
12,81,Nuestra Señora de Regla,Plaza de Armas entre Victoria y Libertad,Centro,31000,,,,28.63592,-106.07724,8,19,1,Chihuahua,Chihuahua,Chihuahua,http://sic.gob.mx/ficha.php?table=catedral&table_id=81,2017-04-11T12:35:25-05:00
13,11,Nuestra Señora de Guadalupe ,Av. Maclovio Herrera esq. Pedro T. Gómez Centenario<br>Frente a la Plaza Guillermo Baca,Centro,,,,,26.93361,-105.66861,8,32,1,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,http://sic.gob.mx/ficha.php?table=catedral&table_id=11,2018-12-10T06:23:48-06:00
14,82,Nuestra Señora de Guadalupe ,Frente a la Plaza de Armas,,,,,,31.73877,-106.48689,8,37,1,Chihuahua,Juárez,Juárez,http://sic.gob.mx/ficha.php?table=catedral&table_id=82,2018-12-10T06:33:56-06:00
15,3,Nuestra Señora de la Medalla Milagrosa ,Av. Benito Juárez y 5 de Mayo,Centro,31700,,,,30.41626,-107.91402,8,50,1,Chihuahua,Nuevo Casas Grandes,Nuevo Casas Grandes,http://sic.gob.mx/ficha.php?table=catedral&table_id=3,2018-12-10T06:38:29-06:00
16,15,Nuestra Señora de Balvanera ,Correo Mayor esq. Rep. de Uruguay,Centro Histórico,06010,(55) 5521 2011,http://www.elcentrohistorico.com.mx/lugares-templo-del-convento-de-balvanera.html,,19.42982,-99.13068,9,15,0,Ciudad de México,Cuauhtémoc,,http://sic.gob.mx/ficha.php?table=catedral&table_id=15,2018-05-02T11:36:13-05:00
17,84,Catedral Metropolitana La Asunción de la Virgen María,Plaza de la Constitución,Centro Histórico,06010,,,,19.43393,-99.13311,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=84,2017-04-10T22:31:52-05:00
18,18,Porta Coeli,Venustiano Carranza 107 ,Centro Histórico,06060,(55) 5542 0225,http://www.elcentrohistorico.com.mx/lugares-templo-del-colegio-de-porta-coeli.html,,19.43055,-99.13191,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=18,2021-12-09T13:35:58-06:00
19,21,Catedral Basílica Menor de la Inmaculada Concepción ,Av. 20 de noviembre s/n,Zona Centro,34000,(618) 812 50 77,,,24.02553,-104.67036,10,5,1,Durango,Durango,Victoria de Durango,http://sic.gob.mx/ficha.php?table=catedral&table_id=21,2018-12-13T06:22:18-06:00
